expected_input,source_system,source_file,lineage_path,mapping_mode,input_status,row_count,sha256
data/staging/processed/pr_contracts_master.csv,contracts,,data/staging/processed/partial/r4_9a_missing/pr_contracts_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_grants_master.csv,grants,,data/staging/processed/partial/r4_9a_missing/pr_grants_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_subawards_master.csv,subawards,,data/staging/processed/partial/r4_9a_missing/pr_subawards_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_fema_pa_master.csv,fema_pa,,data/staging/processed/partial/r4_9a_missing/pr_fema_pa_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_fema_hmgp_master.csv,fema_hmgp,,data/staging/processed/partial/r4_9a_missing/pr_fema_hmgp_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_research_master.csv,research,,data/staging/processed/partial/r4_9a_missing/pr_research_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_sba_loans_master.csv,sba_loans,,data/staging/processed/partial/r4_9a_missing/pr_sba_loans_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_slfrf_master.csv,slfrf,,data/staging/processed/partial/r4_9a_missing/pr_slfrf_master.csv,r4_9a_missing,missing,0,
data/staging/processed/pr_cdbg_dr_master.csv,cdbg_dr,,data/staging/processed/partial/r4_9a_missing/pr_cdbg_dr_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_dot_master.csv,dot,,data/staging/processed/partial/r4_9a_missing/pr_dot_master.csv,r4_9a_missing,missing,0,
data/staging/processed/pr_usda_master.csv,usda,,data/staging/processed/partial/r4_9a_missing/pr_usda_master.csv,r4_9a_missing,missing,0,
data/staging/processed/pr_doe_master.csv,doe,,data/staging/processed/partial/r4_9a_missing/pr_doe_master.csv,r4_9a_missing,missing,0,
data/staging/processed/pr_hud_master.csv,hud,,data/staging/processed/partial/r4_9a_missing/pr_hud_master.csv,r4_9a_missing,missing,0,
data/staging/processed/pr_sbir_master.csv,sbir,,data/staging/processed/partial/r4_9a_missing/pr_sbir_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_epa_master.csv,epa,,data/staging/processed/partial/r4_9a_missing/pr_epa_master.csv,r4_9a_missing,missing,0,
data/staging/processed/pr_usace_civil_master.csv,usace_civil,,data/staging/processed/partial/r4_9a_missing/pr_usace_civil_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_wioa_grants.csv,wioa,,data/staging/processed/partial/r4_9a_missing/pr_wioa_grants.csv,r4_9a_missing,missing,0,
data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_expansion,,data/staging/processed/partial/r4_9a_missing/expansion_idv_indirect_pr.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_expansion,,data/staging/processed/partial/r4_9a_missing/expansion_dod_upr_2001_2015.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_expansion,,data/staging/processed/partial/r4_9a_missing/expansion_dod_upr_2016_2025.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_expansion,,data/staging/processed/partial/r4_9a_missing/expansion_reconstruction_2017_2025.csv,r4_9a_missing,missing_manual_blocker,0,
